x  y  frame  time(s)
178 110 4083 162.347429
176 108 4084 162.387191
178 108 4085 162.426953
178 110 4086 162.466715
180 110 4087 162.506477
178 112 4088 162.546238
182 110 4089 162.586000
180 110 4090 162.625762
176 110 4091 162.665524
182 108 4092 162.705286
182 108 4094 162.784809
180 110 4095 162.824571
178 112 4096 162.864333
178 112 4097 162.904095
178 112 4098 162.943856
176 110 4099 162.983618
180 110 4100 163.023380
180 110 4102 163.102904
180 110 4103 163.142665
180 110 4104 163.182427
180 110 4105 163.222189
180 110 4106 163.261951
178 112 4107 163.301713
178 112 4108 163.341474
178 114 4109 163.381236
176 110 4110 163.420998
180 110 4111 163.460760
